"시점",계,15 - 19세,20 - 29세,30 - 39세,40 - 49세,50 - 59세,60세이상,15 - 64세,15 - 24세,15 - 29세
"시점",계,계,계,계,계,계,계,계,계,계
"2021.07",3.2,9.1,7.1,3.0,2.2,2.4,2.6,3.4,7.1,7.2
"2021.08",2.6,5.9,5.8,2.8,1.8,1.9,1.9,2.8,6.0,5.8
"2021.09",2.7,6.6,5.3,2.5,1.9,2.2,2.2,2.8,5.1,5.4
"2021.10",2.8,4.5,5.7,3.0,2.1,2.1,2.0,2.9,6.7,5.6
"2021.11",2.6,6.0,5.5,2.8,2.0,1.9,1.6,2.7,6.1,5.5
"2021.12",3.5,7.0,5.7,2.6,1.9,1.8,6.4,2.8,6.8,5.7
"2022.01",4.1,11.1,5.7,2.6,2.3,2.2,8.4,3.1,8.3,6.0
"2022.02",3.4,9.9,6.7,2.6,2.2,2.0,4.3,3.2,8.6,6.9
"2022.03",3.0,10.1,7.0,2.6,2.1,1.7,3.0,3.1,9.2,7.2
"2022.04",3.0,8.0,7.4,3.0,2.1,1.7,2.1,3.2,8.1,7.4
"2022.05",3.0,5.3,7.3,3.2,2.1,1.7,2.2,3.2,8.3,7.2
"2022.06",3.0,3.7,7.0,3.1,2.3,2.0,2.2,3.2,7.6,6.9
"2022.07",2.9,9.3,6.6,3.0,2.1,1.7,1.9,3.0,7.0,6.8
"2022.08",2.1,4.0,5.4,2.6,1.6,1.3,1.0,2.3,5.0,5.4
"2022.09",2.4,3.4,6.2,2.6,1.8,1.5,1.4,2.6,6.0,6.1
"2022.10",2.4,2.7,5.7,2.7,1.8,1.5,1.5,2.6,5.4,5.6
"2022.11",2.3,1.8,5.9,2.5,1.8,1.4,1.3,2.5,5.4,5.7
"2022.12",3.0,5.4,5.2,2.3,1.9,1.4,5.2,2.4,5.1,5.2
"2023.01",3.6,9.1,5.8,2.6,2.2,1.9,6.4,2.9,6.5,5.9
